Match Number,Weekday,Date,Day,Month,Year,Local Time,Opponent,Opponent State/Country,Competition,Round,Venue,Location,Address,Latitude,Longitude,Home or Away,Attendance,Match Result,Score - WSW-Opp,Notes,"Club Achievements, Milestones and Records"
1,Wednesday,25 July 2012,25,July,2012,19:30,Nepean FC ,NSW,Friendly,Pre-season,Cook Park,"St Marys, NSW, Australia","Cook Park, St Marys, NSW, Australia",--33.77616982927349,150.7697874652876,Away,3612,Win,5 - 0,,First match. First goal. First win.
2,Wednesday,1 August 2012,1,August,2012,19:30,Blacktown Spartans ,NSW,Friendly,Pre-season,"Athletics Centre, Blacktown International Sportspark","Rooty Hill, NSW, Australia","Athletics Centre, Blacktown International Sportspark, Rooty Hill, NSW, Australia",-33.76985018779725,150.8527703702235,Away,4116,Win,2 - 0,,
3,Wednesday,8 August 2012,8,August,2012,19:00,Blacktown City ,NSW,Friendly,Pre-season,Gabbie Stadium,"Seven Hills, NSW, Australia","Gabbie Stadium, Seven Hills, NSW, Australia",-33.76706144323335,150.9400492699214,Away,3472,Win,2 - 0,,
4,Wednesday,22 August 2012,22,August,2012,19:30,Sydney United ,NSW,Friendly,Pre-season,Edensor Park,"Edensor Park, NSW, Australia","Edensor Park, Edensor Park, NSW, Australia",--33.87572487548244,150.8741927468741,Away,3234,Loss,1 - 2,,First loss. First goal conceded.
5,Tuesday,28 August 2012,28,August,2012,19:30,Wynnum Wolves ,QLD,Friendly,Pre-season,Carmichael Park,"Tingalpa, QLD, Australia","Carmichael Park, Tingalpa, QLD, Australia",-27.4687447,153.1244258,Away,3000,Win,1 - 0,Part of Brisbane training camp,First inter-state match.
6,Friday,31 August 2012,31,August,2012,19:00,Melbourne Heart,VIC,Friendly,Pre-season,Oakes Oval,"Lismore, NSW, Australia","Oakes Oval, Lismore, NSW, Australia",-28.81063892055317,153.281505397614,Away,3300,Loss,0 - 0,0 -0 end of play. Loss 3 - 5 on penalties. Neutral venue. Craig Foster Cup.,First match against an A-League opponent. First penalty shootout. Craig Foster Cup runners-up.
7,Sunday,9 September 2012,9,September,2012,19:00,Parramatta FC ,NSW,Friendly,Pre-season,Parramatta Stadium,"Parramatta, NSW, Australia","Parramatta Stadium, Parramatta, NSW, Australia",-33.808151,150.999716,Home,1063,Win,1 - 0,,First home match at Parramatta Stadium.
8,Saturday,15 September 2012,15,September,2012,14:00,Newcastle Jets,NSW,Friendly,Pre-season,Wanderers Oval,"Broadmeadow, NSW,Australia","Wanderers Oval, Broadmeadow, NSW,Australia",-32.92044908080788,151.7310231317847,Away,3000,Draw,1 - 1,,First draw.
9,Sunday,23 September 2012,23,September,2012,14:30,Wellington Phoenix,NZ,Friendly,Pre-season,Lancaster Park,"Christchurch, New Zealand","Lancaster Park, Christchurch, New Zealand",-43.54194906091301,172.6540112816092,Away,6500,Draw,1 - 1,,First match played outside Australia. First match played in New Zealand.
10,Thursday,27 September 2012,27,September,2012,19:30,Bankstown City Lions ,NSW,Friendly,Pre-season,Jensen Park,"Sefton, NSW, Australia","Jensen Park, Sefton, NSW, Australia",-33.88344530000001,151.0176629999999,Away,2000,Win,3 - 0,,
